Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"Vermeden CO₂-uitstoot door bekende hernieuwbare elektriciteit (excl. wind op zee)";"kton";"2022";"Zeeland";"1017,17573612097";"Berekening vermeden CO₂-uitstoot";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"Vermeden CO₂-uitstoot door bekende hernieuwbare elektriciteit (excl. wind op zee)";"kton";"2023";"Zeeland";"1032,71517078755";"Berekening vermeden CO₂-uitstoot";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"Vermeden CO₂-uitstoot door bekende hernieuwbare elektriciteit (excl. wind op zee)";"kton";"2024";"Zeeland";"x";"Berekening vermeden CO₂-uitstoot";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-uitstoot t.g.v. elektriciteitsverbruik";"kton";"2010";"Zeeland";"2545,75758383583";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-uitstoot t.g.v. elektriciteitsverbruik";"kton";"2011";"Zeeland";"2887,94881173263";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-uitstoot t.g.v. elektriciteitsverbruik";"kton";"2012";"Zeeland";"1618,86017702157";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-uitstoot t.g.v. elektriciteitsverbruik";"kton";"2013";"Zeeland";"1265,30743649107";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-uitstoot t.g.v. elektriciteitsverbruik";"kton";"2014";"Zeeland";"1390,6752145664";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-uitstoot t.g.v. elektriciteitsverbruik";"kton";"2015";"Zeeland";"1522,00084608718";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-uitstoot t.g.v. elektriciteitsverbruik";"kton";"2016";"Zeeland";"1462,78501794347";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-uitstoot t.g.v. elektriciteitsverbruik";"kton";"2017";"Zeeland";"1358,68021588357";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-uitstoot t.g.v. elektriciteitsverbruik";"kton";"2018";"Zeeland";"1311,58270730542";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-uitstoot t.g.v. elektriciteitsverbruik";"kton";"2019";"Zeeland";"1095,68859417603";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-uitstoot t.g.v. elektriciteitsverbruik";"kton";"2020";"Zeeland";"822,436604942815";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-uitstoot t.g.v. elektriciteitsverbruik";"kton";"2021";"Zeeland";"918,129850331056";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-uitstoot t.g.v. elektriciteitsverbruik";"kton";"2022";"Zeeland";"795,194771111134";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-uitstoot t.g.v. elektriciteitsverbruik";"kton";"2023";"Zeeland";"590,988151253069";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-uitstoot t.g.v. elektriciteitsverbruik";"kton";"2024";"Zeeland";"591,252743211935";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.2 Emissies elektriciteit";"1.2.1 CO₂-uitstoot elektriciteitsproductie (bronbenadering)";"CO₂-emissies elektriciteitsproductie (bronbenadering)";"kton";"2023";"Zeeland";"1194,51817410074";"Emissieregistratie - CO₂-uitstoot";"";
"1.2 Emissies elektriciteit";"1.2.2 Vermeden CO₂-uitstoot door hernieuwbare elektriciteit";"Vermeden CO₂-uitstoot door bekende hernieuwbare elektriciteit (excl. wind op zee)";"kton";"2023";"Zeeland";"1032,71517078755";"Berekening vermeden CO₂-uitstoot";"";
"1.2 Emissies elektriciteit";"CO₂-uitstoot elektriciteit (verbruiksbenadering)";"CO₂-uitstoot t.g.v. elektriciteitsverbruik";"kton";"2024";"Zeeland";"591,252743211935";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
