Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-uitstoot Gebouwde omgeving (aardgas, elektr. en stadswarmte woningen)";"kton";"2019";"Zeeland";"1065,13281159931";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-uitstoot Gebouwde omgeving (aardgas, elektr. en stadswarmte woningen)";"kton";"2020";"Zeeland";"923,044266003229";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-uitstoot Gebouwde omgeving (aardgas, elektr. en stadswarmte woningen)";"kton";"2021";"Zeeland";"983,838056819421";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-uitstoot Gebouwde omgeving (aardgas, elektr. en stadswarmte woningen)";"kton";"2022";"Zeeland";"853,244731766235";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-uitstoot Gebouwde omgeving (aardgas, elektr. en stadswarmte woningen)";"kton";"2023";"Zeeland";"715,753998001622";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-uitstoot Gebouwde omgeving (aardgas, elektr. en stadswarmte woningen)";"kton";"2024";"Zeeland";"698,391495144056";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"Niet-energetische CO₂-emissies Gebouwde omgeving";"kton";"2010";"Zeeland";"81,7032006821632";"Emissieregistratie - CO₂-uitstoot";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"Niet-energetische CO₂-emissies Gebouwde omgeving";"kton";"2011";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"Niet-energetische CO₂-emissies Gebouwde omgeving";"kton";"2012";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"Niet-energetische CO₂-emissies Gebouwde omgeving";"kton";"2013";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"Niet-energetische CO₂-emissies Gebouwde omgeving";"kton";"2014";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"Niet-energetische CO₂-emissies Gebouwde omgeving";"kton";"2015";"Zeeland";"81,4393373715008";"Emissieregistratie - CO₂-uitstoot";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"Niet-energetische CO₂-emissies Gebouwde omgeving";"kton";"2016";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
