Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Verbruik vloeibare biobrandstoffen in verkeer (bijgemengd)";"TJ";"2019";"Zeeland";"698,457163634506";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Verbruik vloeibare biobrandstoffen in verkeer (bijgemengd)";"TJ";"2020";"Zeeland";"628,850605417632";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Verbruik vloeibare biobrandstoffen in verkeer (bijgemengd)";"TJ";"2021";"Zeeland";"718,949474186645";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Verbruik vloeibare biobrandstoffen in verkeer (bijgemengd)";"TJ";"2022";"Zeeland";"665,477506622897";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Verbruik vloeibare biobrandstoffen in verkeer (bijgemengd)";"TJ";"2023";"Zeeland";"662,455862648628";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Verbruik vloeibare biobrandstoffen in verkeer (bijgemengd)";"TJ";"2024";"Zeeland";"1075,82546475808";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Biogas hernieuwbare energie in verkeer en vervoer";"TJ";"2010";"Zeeland";"-";"CBS - Statistiek biogas";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Biogas hernieuwbare energie in verkeer en vervoer";"TJ";"2011";"Zeeland";"-";"CBS - Statistiek biogas";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Biogas hernieuwbare energie in verkeer en vervoer";"TJ";"2012";"Zeeland";"0";"CBS - Statistiek biogas";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Biogas hernieuwbare energie in verkeer en vervoer";"TJ";"2013";"Zeeland";"0";"CBS - Statistiek biogas";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Biogas hernieuwbare energie in verkeer en vervoer";"TJ";"2014";"Zeeland";"0";"CBS - Statistiek biogas";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Biogas hernieuwbare energie in verkeer en vervoer";"TJ";"2015";"Zeeland";"0";"CBS - Statistiek biogas";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Biogas hernieuwbare energie in verkeer en vervoer";"TJ";"2016";"Zeeland";"0";"CBS - Statistiek biogas";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Biogas hernieuwbare energie in verkeer en vervoer";"TJ";"2017";"Zeeland";"0";"CBS - Statistiek biogas";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Biogas hernieuwbare energie in verkeer en vervoer";"TJ";"2018";"Zeeland";"0";"CBS - Statistiek biogas";"";
