Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekende hernieuwbare energie";"TJ";"2019";"Zeeland";"7480,92433479216";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekende hernieuwbare energie";"TJ";"2020";"Zeeland";"8513,43064504297";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekende hernieuwbare energie";"TJ";"2021";"Zeeland";"8146,69657552892";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekende hernieuwbare energie";"TJ";"2022";"Zeeland";"9017,65524393366";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekende hernieuwbare energie";"TJ";"2023";"Zeeland";"10012,263834185";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekende hernieuwbare energie";"TJ";"2024";"Zeeland";"x";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer en vervoer)";"TJ";"2010";"Zeeland";"145684,505905716";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer en vervoer)";"TJ";"2011";"Zeeland";"153449,578219234";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer en vervoer)";"TJ";"2012";"Zeeland";"145742,709378452";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer en vervoer)";"TJ";"2013";"Zeeland";"141134,708649431";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer en vervoer)";"TJ";"2014";"Zeeland";"118618,381641449";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer en vervoer)";"TJ";"2015";"Zeeland";"126986,92173909";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer en vervoer)";"TJ";"2016";"Zeeland";"125373,483952137";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer en vervoer)";"TJ";"2017";"Zeeland";"125465,738220856";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer en vervoer)";"TJ";"2018";"Zeeland";"125558,605470021";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer en vervoer)";"TJ";"2019";"Zeeland";"?";"Berekening (sub)totalen energieverbruik";"";
