Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik huurwoningen (weergecorrigeerd)";"m3";"2018";"Zeeland";"1100";"Berekening totaalverbruik woningen o.b.v. gemiddeld verbruik en aantal woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik huurwoningen (weergecorrigeerd)";"m3";"2019";"Zeeland";"1090";"Berekening totaalverbruik woningen o.b.v. gemiddeld verbruik en aantal woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik huurwoningen (weergecorrigeerd)";"m3";"2020";"Zeeland";"1080";"Berekening totaalverbruik woningen o.b.v. gemiddeld verbruik en aantal woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik huurwoningen (weergecorrigeerd)";"m3";"2021";"Zeeland";"1060";"Berekening totaalverbruik woningen o.b.v. gemiddeld verbruik en aantal woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik huurwoningen (weergecorrigeerd)";"m3";"2022";"Zeeland";"910";"Berekening totaalverbruik woningen o.b.v. gemiddeld verbruik en aantal woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik huurwoningen (weergecorrigeerd)";"m3";"2023";"Zeeland";"810";"Berekening totaalverbruik woningen o.b.v. gemiddeld verbruik en aantal woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik huurwoningen (weergecorrigeerd)";"m3";"2024";"Zeeland";"840";"Berekening totaalverbruik woningen o.b.v. gemiddeld verbruik en aantal woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik koopwoningen (weergecorrigeerd)";"m3";"2010";"Zeeland";"?";"CBS - Statistiek energieverbruik woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik koopwoningen (weergecorrigeerd)";"m3";"2011";"Zeeland";"?";"CBS - Statistiek energieverbruik woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik koopwoningen (weergecorrigeerd)";"m3";"2012";"Zeeland";"?";"CBS - Statistiek energieverbruik woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik koopwoningen (weergecorrigeerd)";"m3";"2013";"Zeeland";"1680";"CBS - Statistiek energieverbruik woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik koopwoningen (weergecorrigeerd)";"m3";"2014";"Zeeland";"1650";"CBS - Statistiek energieverbruik woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik koopwoningen (weergecorrigeerd)";"m3";"2015";"Zeeland";"1570";"CBS - Statistiek energieverbruik woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik koopwoningen (weergecorrigeerd)";"m3";"2016";"Zeeland";"1520";"CBS - Statistiek energieverbruik woningen";"";
