Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-emissies Industrie (bronbenadering)";"kton";"2023";"Zeeland";"5090,33212700029";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-emissies Industrie (bronbenadering)";"kton";"2024";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Niet-energetische CO₂-emissies Industrie";"kton";"2010";"Zeeland";"2709,74152999985";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Niet-energetische CO₂-emissies Industrie";"kton";"2011";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Niet-energetische CO₂-emissies Industrie";"kton";"2012";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Niet-energetische CO₂-emissies Industrie";"kton";"2013";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Niet-energetische CO₂-emissies Industrie";"kton";"2014";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Niet-energetische CO₂-emissies Industrie";"kton";"2015";"Zeeland";"3617,29800727658";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Niet-energetische CO₂-emissies Industrie";"kton";"2016";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Niet-energetische CO₂-emissies Industrie";"kton";"2017";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Niet-energetische CO₂-emissies Industrie";"kton";"2018";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Niet-energetische CO₂-emissies Industrie";"kton";"2019";"Zeeland";"3231,76355066894";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Niet-energetische CO₂-emissies Industrie";"kton";"2020";"Zeeland";"3194,90912836359";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Niet-energetische CO₂-emissies Industrie";"kton";"2021";"Zeeland";"3111,0124512465";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Niet-energetische CO₂-emissies Industrie";"kton";"2022";"Zeeland";"2075,06056191344";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Niet-energetische CO₂-emissies Industrie";"kton";"2023";"Zeeland";"2004,44178583719";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Niet-energetische CO₂-emissies Industrie";"kton";"2024";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Emissies overige broeikassen Industrie";"kton";"2010";"Zeeland";"540,893683133749";"Emissieregistratie - Uitstoot overige broeikasgassen";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Emissies overige broeikassen Industrie";"kton";"2011";"Zeeland";"x";"Emissieregistratie - Uitstoot overige broeikasgassen";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Emissies overige broeikassen Industrie";"kton";"2012";"Zeeland";"x";"Emissieregistratie - Uitstoot overige broeikasgassen";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Emissies overige broeikassen Industrie";"kton";"2013";"Zeeland";"x";"Emissieregistratie - Uitstoot overige broeikasgassen";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Emissies overige broeikassen Industrie";"kton";"2014";"Zeeland";"x";"Emissieregistratie - Uitstoot overige broeikasgassen";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Emissies overige broeikassen Industrie";"kton";"2015";"Zeeland";"416,973082950012";"Emissieregistratie - Uitstoot overige broeikasgassen";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Emissies overige broeikassen Industrie";"kton";"2016";"Zeeland";"x";"Emissieregistratie - Uitstoot overige broeikasgassen";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Emissies overige broeikassen Industrie";"kton";"2017";"Zeeland";"x";"Emissieregistratie - Uitstoot overige broeikasgassen";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Emissies overige broeikassen Industrie";"kton";"2018";"Zeeland";"x";"Emissieregistratie - Uitstoot overige broeikasgassen";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Emissies overige broeikassen Industrie";"kton";"2019";"Zeeland";"416,932405633848";"Emissieregistratie - Uitstoot overige broeikasgassen";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Emissies overige broeikassen Industrie";"kton";"2020";"Zeeland";"319,238984546353";"Emissieregistratie - Uitstoot overige broeikasgassen";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Emissies overige broeikassen Industrie";"kton";"2021";"Zeeland";"315,109403792274";"Emissieregistratie - Uitstoot overige broeikasgassen";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Emissies overige broeikassen Industrie";"kton";"2022";"Zeeland";"220,207690525544";"Emissieregistratie - Uitstoot overige broeikasgassen";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Emissies overige broeikassen Industrie";"kton";"2023";"Zeeland";"205,681601995594";"Emissieregistratie - Uitstoot overige broeikasgassen";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"Emissies overige broeikassen Industrie";"kton";"2024";"Zeeland";"x";"Emissieregistratie - Uitstoot overige broeikasgassen";"";
"1.5 Emissies industrie";"1.5.1 CO₂-uitstoot Industrie (verbruiksbenadering)";"CO₂-uitstoot Industrie, Energie, Afval en Water (aardgas en elektr.)";"kton";"2024";"Zeeland";"4257,03156155021";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.5 Emissies industrie";"1.5.2 CO₂-uitstoot industrie (bronbenadering)";"CO₂-emissies Industrie (bronbenadering)";"kton";"2023";"Zeeland";"5090,33212700029";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"1.5.3 Niet-energetische CO₂-uitstoot industrie";"Niet-energetische CO₂-emissies Industrie";"kton";"2023";"Zeeland";"2004,44178583719";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"1.5.4 Overige broeikasgassen industrie";"Emissies overige broeikassen Industrie";"kton CO2-equivalent";"2023";"Zeeland";"205,681601995594";"Emissieregistratie - Uitstoot overige broeikasgassen";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie verbruiksbenadering (1.5.1 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie verbruiksbenadering";"kton CO2-equivalent";"2010";"Zeeland";"7872,99403316079";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie verbruiksbenadering (1.5.1 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie verbruiksbenadering";"kton CO2-equivalent";"2011";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie verbruiksbenadering (1.5.1 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie verbruiksbenadering";"kton CO2-equivalent";"2012";"Zeeland";"x";"";"";
"1.5 Emissies industrie";"Emissies broeikasgassen Industrie verbruiksbenadering (1.5.1 + 1.5.3 +1.5.4)";"Totaal emissies broeikasgassen Industrie verbruiksbenadering";"kton CO2-equivalent";"2013";"Zeeland";"x";"";"";
