Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Publieke reguliere laadpunten voor elektrische auto's";"aantal";"Vierde kwartaal 2022";"Zeeland";"820";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Publieke reguliere laadpunten voor elektrische auto's";"aantal";"Eerste kwartaal 2023";"Zeeland";"929";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Publieke reguliere laadpunten voor elektrische auto's";"aantal";"Tweede kwartaal 2023";"Zeeland";"1029";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Publieke reguliere laadpunten voor elektrische auto's";"aantal";"Derde kwartaal 2023";"Zeeland";"1069";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Publieke reguliere laadpunten voor elektrische auto's";"aantal";"Vierde kwartaal 2023";"Zeeland";"1078";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Publieke reguliere laadpunten voor elektrische auto's";"aantal";"Eerste kwartaal 2024";"Zeeland";"1134";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Publieke reguliere laadpunten voor elektrische auto's";"aantal";"Tweede kwartaal 2024";"Zeeland";"1448";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Publieke reguliere laadpunten voor elektrische auto's";"aantal";"Derde kwartaal 2024";"Zeeland";"1547";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Publieke reguliere laadpunten voor elektrische auto's";"aantal";"Vierde kwartaal 2024";"Zeeland";"1667";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Publieke reguliere laadpunten voor elektrische auto's";"aantal";"Eerste kwartaal 2025";"Zeeland";"2448";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Publieke reguliere laadpunten voor elektrische auto's";"aantal";"Tweede kwartaal 2025";"Zeeland";"2539";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Publieke reguliere laadpunten voor elektrische auto's";"aantal";"Derde kwartaal 2025";"Zeeland";"2638";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Publieke reguliere laadpunten voor elektrische auto's";"aantal";"Vierde kwartaal 2025";"Zeeland";"2720";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Publieke reguliere laadpunten voor elektrische auto's";"aantal";"Eerste kwartaal 2026";"Zeeland";"2792";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Publieke reguliere laadpunten voor elektrische auto's";"aantal";"Tweede kwartaal 2026";"Zeeland";"2880";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Derde kwartaal 2021";"Zeeland";"1091";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
"3.4 Resultaten mobiliteit";"(Semi)publieke laadpunten voor elektrische auto's";"Semi-publieke reguliere laadpunten voor elektrische auto's";"aantal";"Vierde kwartaal 2021";"Zeeland";"1238";"Registratie laadpunten Charge-it-up/Ecomovement/NAL, bewerking door RVO";"";
