Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"4.2 Voortgang elektriciteit";"4.2.1 Wind in fase Voortraject";"Wind op land in fase Voortraject";"MW";"2020";"Zeeland";"50";"RVO - Monitor Windenergie op Land";"";
"4.2 Voortgang elektriciteit";"4.2.2 Wind in fase Ruimtelijke procedure";"Wind op land in fase Ruimtelijke procedure";"MW";"2019";"Zeeland";"35,5";"RVO - Monitor Windenergie op Land";"";
"4.2 Voortgang elektriciteit";"4.2.3 Wind in fase Vergunningenprocedure";"Wind op land in fase Vergunningenprocedure";"MW";"2025";"Zeeland";"6,1";"RVO - Monitor Windenergie op Land";"";
"4.2 Voortgang elektriciteit";"4.2.4 Wind in fase Bouw (in voorbereiding)";"Wind op land in fase Bouw (in voorbereiding)";"MW";"2025";"Zeeland";"71,7";"RVO - Monitor Windenergie op Land";"";
"4.2 Voortgang elektriciteit";"3.2.1 Wind op land fysiek opgesteld vermogen";"Wind op land fysiek opgesteld vermogen";"MW";"2025";"Zeeland";"634,7";"Windstats";"";
"4.2 Voortgang elektriciteit";"4.2.5 SDE Nog niet gerealiseerd ('pijplijn') - Vermogen zon (dakopstelling)";"SDE Nog niet gerealiseerd ('pijplijn') - Vermogen zon (dakopstelling)";"MW";"2024";"Zeeland";"135,7";"RVO - SDE++-regeling";"";
"4.2 Voortgang elektriciteit";"4.2.6 SDE Nog niet gerealiseerd ('pijplijn') - Vermogen zon (veld- en wateropstelling)";"SDE Nog niet gerealiseerd ('pijplijn') - Vermogen zon (veld- en wateropstelling)";"MW";"2024";"Zeeland";"33,8";"RVO - SDE++-regeling";"";
"4.2 Voortgang elektriciteit";"Wind op land fysiek opgesteld vermogen";"Wind op land fysiek opgesteld vermogen";"MW";"2025";"Zeeland";"634,7";"Windstats";"";
"4.2 Voortgang elektriciteit";"SDE en SCE 'pijplijn' - Vermogen zon-PV op dak";"SDE en SCE Nog niet gerealiseerd ('pijplijn') - Vermogen zon-PV op dak";"MW";"2024";"Zeeland";"135,7";"RVO - SCE- en SDE++-regeling";"";
"4.2 Voortgang elektriciteit";"SDE en SCE 'pijplijn' - Vermogen zon-PV op veld of water";"SDE en SCE Nog niet gerealiseerd ('pijplijn') - Vermogen zon-PV op veld of water";"MW";"2024";"Zeeland";"33,8";"RVO - SCE- en SDE++-regeling";"";
