Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij (aardgas, bronbenadering)";"kton";"2020";"Zeeland";"198,76286088";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij (aardgas, bronbenadering)";"kton";"2021";"Zeeland";"?";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij (aardgas, bronbenadering)";"kton";"2022";"Zeeland";"?";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij (aardgas, bronbenadering)";"kton";"2023";"Zeeland";"168,25365348";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"Niet-energetische CO₂-emissies Landbouw";"kton";"2010";"Zeeland";"48,6339562269818";"Emissieregistratie - CO₂-uitstoot";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"Niet-energetische CO₂-emissies Landbouw";"kton";"2011";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"Niet-energetische CO₂-emissies Landbouw";"kton";"2012";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"Niet-energetische CO₂-emissies Landbouw";"kton";"2013";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"Niet-energetische CO₂-emissies Landbouw";"kton";"2014";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"Niet-energetische CO₂-emissies Landbouw";"kton";"2015";"Zeeland";"39,6275606650335";"Emissieregistratie - CO₂-uitstoot";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"Niet-energetische CO₂-emissies Landbouw";"kton";"2016";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"Niet-energetische CO₂-emissies Landbouw";"kton";"2017";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"Niet-energetische CO₂-emissies Landbouw";"kton";"2018";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"Niet-energetische CO₂-emissies Landbouw";"kton";"2019";"Zeeland";"40,8444442632812";"Emissieregistratie - CO₂-uitstoot";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"Niet-energetische CO₂-emissies Landbouw";"kton";"2020";"Zeeland";"42,0323903986999";"Emissieregistratie - CO₂-uitstoot";"";
